Year,Borough,Race,Gender,Age,HIV diagnoses,HIV diagnosis rate,Concurrent diagnoses,% linked to care within 3 months,AIDS diagnoses,AIDS diagnosis rate,PLWDHI prevalence,% viral suppression,Deaths,Death rate,HIV-related death rate,Non-HIV-related death rate,total_weight,weighted_income_sum,avg_NYCgov_Income,weighted_poverty_population,weighted_non_poverty_population,poverty_rate,no_poverty_rate,weighted_Full_Time_Work_Year_Round,weighted_Less_Than_Full_Time_Work_Year_Round,weighted_No_Work,weighted_Less_Than_High_School,weighted_High_School_Degree,weighted_Some_College,weighted_Bachelors_Or_Higher
2017,Manhattan,Latino/Hispanic,Female,60+,4,1.2090909047560259,2,1,4,1.2090909047560259,7.600000083446503,0.9136363593014803,20,4.354545463215221,0,4.354545463215221,48639,1954227252.9075105,40178.19554076997,14680,33959,0.30181541561298547,0.6981845843870146,4203,3325,41111,22684,11764,8220,5971
2017,Staten Island,White,Male,30 - 39,4,9.999999809265137,0,1,2,6.7999999046325685,1.4000000432133675,0.9079999923706055,2,0,0,0,15528,1404978104.4961996,90480.300392594,903,14625,0.05815301391035549,0.9418469860896446,13232,1421,875,495,2489,4679,7865
2017,Manhattan,Latino/Hispanic,Female,40 - 49,8,4.418181852860884,4,0.75,6,5.263636328957298,8.199999906122684,0.6930000066757203,6,1.9499999761581421,1.9499999761581421,0,24235,1617817738.0630603,66755.42554417414,4825,19410,0.19909222199298535,0.8009077780070146,12244,6318,5673,5383,5526,5070,8256
2017,Queens,Other/Unknown,Male,60+,0,0,0,null,0,0,0.7000000029802322,1,0,0,0,0,6283,423783708.7876,67449.26130631863,372,5911,0.05920738500716218,0.9407926149928378,2650,968,2665,1952,1564,1356,1411
2017,Manhattan,Asian/Pacific Islander,Female,30 - 39,4,12.690909385681152,0,1,0,0,0.6000000163912773,1,0,0,0,0,26861,2852859205.8764005,106208.22776055994,2231,24630,0.08305722050556569,0.9169427794944343,16356,5478,5027,3646,1481,1006,20728
2017,Staten Island,Other/Unknown,Male,30 - 39,0,0,0,1,0,0,0,0,0,0,0,0,178,14266693.156,80149.9615505618,null,178,null,1,151,27,null,null,null,62,116
2017,Brooklyn,Latino/Hispanic,Female,40 - 49,4,3.5583332777023315,0,1,2,1.7833333015441895,12.600000083446503,0.7874999990065893,6,1.1583333611488342,0,1.1583333611488342,30317,1772479456.09096,58464.86974604875,7112,23205,0.23458785499884552,0.7654121450011545,12886,7608,9823,8753,9785,6233,5546
2017,Bronx,Latino/Hispanic,Female,18 - 29,12,7.824999928474426,0,0.7500000074505806,6,4.462500035762787,2.9000000432133675,0.6937500089406967,2,2.9000000059604645,2.9000000059604645,0,71452,3399836636.8995,47582.10598582964,22726,48726,0.31805967642613225,0.6819403235738678,24199,27050,20203,11330,18965,28510,12647
2017,Bronx,Latino/Hispanic,Male,50 - 59,16,18.737500309944153,6,0.8160000026226044,28,30.637499928474426,37.49999928474426,0.7837499976158142,98,5.524999976158142,0.9000000208616257,4.637499988079071,39920,2097618388.02028,52545.55080211122,7926,31994,0.19854709418837677,0.8014529058116232,22922,5820,11178,15013,10880,8755,5272
2017,Manhattan,Other/Unknown,Male,50 - 59,0,0,0,null,0,0,13.299999713897705,0.9163636348464272,0,0,0,0,1922,111484237.67,58004.285988553595,222,1700,0.11550468262226847,0.8844953173777316,1498,null,424,233,222,394,1073
2017,Brooklyn,Black,Male,40 - 49,63,72.1333327823215,18,0.7627272768454119,44,39.03000011444092,36.30000030994415,0.82000000278155,18,6.1250001192092896,1.174999992052714,4.950000127156575,41223,2416821950.5245905,58627.99773244525,5395,35828,0.13087354146956795,0.869126458530432,24622,6506,10095,4134,17353,9439,10297
2017,Bronx,Asian/Pacific Islander,Female,40 - 49,0,0,0,null,0,0,0.30000000447034836,1,0,0,0,0,3711,207021074.1112,55785.79199978443,1252,2459,0.33737537052007543,0.6626246294799245,1107,648,1956,1424,1106,340,841
2017,Brooklyn,Asian/Pacific Islander,Male,18 - 29,16,31.391666730244953,4,0.9114285707473755,4,8.633333404858908,1.4000000357627869,0.9127272746779702,0,0,0,0,24057,1396666730.8869605,58056.56278367878,3118,20939,0.12960884565822836,0.8703911543417716,10290,6616,7151,2309,3307,7109,11332
2017,Staten Island,Latino/Hispanic,Male,30 - 39,2,12.600000381469727,2,1,2,12.600000381469727,3.500000074505806,0.8580000042915344,2,12.639999771118164,0,12.639999771118164,8343,544145395.9847001,65221.79024148389,1181,7162,0.14155579527747814,0.8584442047225219,6667,649,1027,1034,4695,2010,604
2017,Bronx,Black,Female,60+,12,16.512499809265137,2,1,14,15.362500071525574,15.600000143051147,0.8262499943375587,44,6.650000035762787,0.7999999821186066,5.849999964237213,44977,2124276230.8171997,47230.27838266669,7785,37192,0.17308846743891323,0.8269115325610867,8027,3164,33786,10191,12274,12358,10154
2017,Bronx,Asian/Pacific Islander,Female,30 - 39,0,0,0,null,0,0,0.5000000149011612,0.7600000023841857,0,0,0,0,4034,231684919.616,57433.048987605354,918,3116,0.22756569162121965,0.7724343083787804,1906,684,1444,913,1178,1322,621
2017,Staten Island,White,Male,60+,0,0,0,null,2,3.0600000858306884,1.5000000298023224,0.9120000004768372,10,9.720000076293946,9.720000076293946,0,35371,2907042719.6659994,82187.17931825505,2058,33313,0.05818325747080942,0.9418167425291906,7787,4947,22637,4494,9613,8975,12289
2017,Staten Island,White,Male,50 - 59,4,17.099999809265135,2,1,2,4.919999885559082,4.89999994635582,0.9340000033378602,6,17.019999694824218,6.499999904632569,10.519999885559082,20829,1855805879.9990003,89097.21446055982,534,20295,0.025637332565173556,0.9743626674348265,14306,1978,4545,1124,7602,5875,6228
2017,Queens,Black,Female,50 - 59,16,42.2636363289573,6,0.4166666666666667,16,15.681817835027521,22.300000190734863,0.7072727246717974,22,5.627272692593661,0,5.627272692593661,35343,2281391958.143,64550.037012788955,4363,30980,0.12344735874147639,0.8765526412585236,20845,6147,8351,3125,13435,9914,8869
2017,Staten Island,Latino/Hispanic,Male,50 - 59,6,58.91999893188476,0,0.5566666722297668,2,16.84000015258789,11.600000262260437,0.8700000047683716,6,5.159999847412109,5.159999847412109,0,4942,355083706.95299995,71850.20375414811,531,4411,0.10744637798462162,0.8925536220153784,3486,505,951,1109,1783,1457,593
2017,Bronx,Latino/Hispanic,Male,30 - 39,108,86.51249980926514,20,0.7987500056624413,52,43.06250023841858,14.899999976158142,0.7400000020861626,22,6.625,1.9249999821186066,4.6875,54817,2580806939.3073997,47080.411903376684,11834,42983,0.21588193443639747,0.7841180655636025,32311,12666,9840,18528,14835,13835,7619
2017,Manhattan,Other/Unknown,Female,18 - 29,1,1.9899999618530273,0,1,0,0,0.5000000074505806,0.26749999821186066,0,0,0,0,4824,200185600.9621,41497.84431220978,1156,3668,0.2396351575456053,0.7603648424543947,2158,2333,333,null,null,1195,3629
2017,Staten Island,Latino/Hispanic,Female,50 - 59,0,0,0,null,2,16.479999542236328,6.0000001192092896,0.8559999942779541,2,9.95999984741211,9.95999984741211,0,4869,351547064.21729994,72201.08117011706,161,4708,0.03306633805709591,0.9669336619429041,2443,670,1756,722,1105,2014,1028
2017,Manhattan,Asian/Pacific Islander,Female,40 - 49,2,11.218181696805088,0,1,0,0,0.4000000059604645,0.6728571397917611,0,0,0,0,15057,1645196194.1395004,109264.54102009034,2525,12532,0.16769608819818024,0.8323039118018197,8209,3511,3337,1324,472,1568,11693
2017,Queens,Asian/Pacific Islander,Male,30 - 39,34,27.099999861283735,10,0.7159999966621399,16,12.109091151844371,2.800000049173832,0.9300000017339533,2,5.1181816621260205,5.1181816621260205,0,45604,3190142905.270499,69953.13799821286,4458,41146,0.09775458293132182,0.9022454170686782,32711,8949,3944,3563,11288,9358,21395
2017,Manhattan,White,Female,30 - 39,0,0,0,null,2,0.6909091039137407,0.5000000149011612,0.7499999955296517,0,0,0,0,78073,9457699092.671417,121139.17862348593,1838,76235,0.023542069601526775,0.9764579303984732,54671,16007,7395,187,1521,3635,72730
2017,Brooklyn,Other/Unknown,Female,50 - 59,0,0,0,null,0,0,5.399999976158142,0.7337500005960464,4,178.64999866485596,0,178.64999866485596,3844,268722038.9751,69906.8779851977,211,3633,0.05489073881373569,0.9451092611862643,2270,708,866,442,479,726,2197
2017,Brooklyn,Asian/Pacific Islander,Female,18 - 29,0,0,0,null,0,0,0.4000000059604645,0.5899999993188041,0,0,0,0,27267,1513530618.38585,55507.77930780247,6165,21102,0.2260974804708989,0.7739025195291012,10238,9951,7078,1177,4153,6136,15801
2017,Bronx,Other/Unknown,Male,18 - 29,1,8.157142639160156,0,1,1,8.157142639160156,0.5,0.823333332935969,0,0,0,0,3878,248572324.80099997,64098.07240871582,1948,1930,0.5023207839092315,0.49767921609076843,1476,1677,725,343,829,1807,899
2017,Staten Island,Black,Male,30 - 39,6,65.67999877929688,2,0.7233333388964335,10,100.94000244140625,5.4999998807907104,0.8459999918937683,0,0,0,0,1037,79477244.482,76641.50866152362,null,1037,null,1,816,null,221,null,479,234,324
2017,Queens,Latino/Hispanic,Female,60+,4,5.709090796383944,0,0.5,0,0,4.300000078976154,0.9745454517277804,2,2.5454544587568804,2.5454544587568804,0,55284,2895029257.6002107,52366.49405976794,9923,45361,0.1794913537370668,0.8205086462629332,7354,5380,42550,22839,17559,8983,5903
2017,Brooklyn,Black,Female,60+,34,11.900000055631002,4,0.6533333311478297,23,8.808333198229471,11.100000083446503,0.871666669845581,86,12.866666634877523,3.0583332578341165,9.816666722297668,100698,5136497487.870881,51008.932529651844,16990,83708,0.16872231821883255,0.8312776817811675,19602,9139,71957,23007,37183,20644,19864
2017,Bronx,Other/Unknown,Male,30 - 39,0,0,0,null,0,0,1.399999976158142,0.8028571435383388,0,0,0,0,1156,76167873.607,65889.16401989618,null,1156,null,1,821,null,335,122,673,67,294
2017,Brooklyn,Black,Male,30 - 39,97,111.86363532326438,28,0.899999996026357,73,95.70908945257014,33.10000014305115,0.7650000055631002,36,10.816666960716248,6.141666809717814,1.7583333253860474,48587,3107825021.6376004,63964.12665193571,6754,41833,0.1390083767262848,0.8609916232737151,29990,8310,10287,4470,16544,10412,17161
2017,Bronx,Black,Male,50 - 59,34,56.23750019073486,14,0.8628571459225246,62,103.49999952316284,60.100000858306885,0.7650000154972076,90,5.325000047683716,2.287500023841858,3.050000011920929,25381,1231920282.1985998,48537.105795618765,4535,20846,0.17867696308262085,0.8213230369173792,15334,3920,6127,4695,8863,8030,3793
2017,Brooklyn,Other/Unknown,Male,18 - 29,8,56.62727355957031,1,0.5900000135103861,1,1.8999999653209338,3.4000000953674316,0.7011111113760207,0,0,0,0,7251,436287371.56319994,60169.269281919725,897,6354,0.1237070748862226,0.8762929251137774,3004,2372,1875,523,1865,2346,2517
2017,Brooklyn,Black,Female,40 - 49,42,19.574999968210857,12,0.6633333414793015,30,14.883333206176758,21.299999952316284,0.8100000073512396,30,3.2416666746139526,1.5666666428248088,1.6666666865348816,55322,3157212373.5013905,57069.743926492,9800,45522,0.17714471638769386,0.8228552836123061,34488,9542,11292,4874,17756,17989,14703
2017,Queens,Black,Female,30 - 39,14,8.154545523903586,2,0.7700000007947286,8,6.090909177606756,7.10000005364418,0.7919999957084656,0,0,0,0,27406,1844550798.7419,67304.63397584106,2339,25067,0.08534627453842224,0.9146537254615777,17849,6352,3205,1452,5663,9310,10981
2017,Staten Island,Black,Male,60+,2,26.360000610351562,0,0,4,52.74000091552735,14.800000190734863,0.8680000066757202,12,6.380000114440918,0,6.380000114440918,2486,129303008.06003001,52012.47307322205,504,1982,0.20273531777956558,0.7972646822204345,753,230,1503,170,833,476,1007
2017,Staten Island,Latino/Hispanic,Male,40 - 49,0,0,0,null,2,15.300000381469726,6.0999999940395355,0.8380000114440918,0,0,0,0,5255,395590093.55270004,75278.79991488108,496,4759,0.09438629876308278,0.9056137012369172,3493,967,795,1919,1787,1211,338
2017,Staten Island,Black,Female,40 - 49,2,21.059999847412108,0,1,0,0,6.600000023841858,0.7300000011920929,0,0,0,0,3426,194206567.89849997,56686.096876386444,999,2427,0.29159369527145357,0.7084063047285464,2122,654,650,340,516,758,1812
2017,Manhattan,Latino/Hispanic,Male,40 - 49,32,83.15454535050826,10,1,18,44.209090839732774,56.49999952316284,0.8399999954483726,22,5.190909125588157,0.8181817965074019,3.4999999566511675,26443,2191145227.3363004,82862.95909451653,2373,24070,0.08974019589305299,0.9102598041069471,21174,3646,1623,6028,8296,4950,7169
2017,Staten Island,Black,Female,30 - 39,8,75.24000091552735,4,0.5833333333333334,6,57.18000030517578,4.199999928474426,0.8020000100135803,0,0,0,0,2914,133848748.73080003,45932.995446396715,871,2043,0.29890185312285517,0.7010981468771448,2057,259,598,367,616,127,1804
2017,Bronx,Asian/Pacific Islander,Male,40 - 49,1,3.5714285714285716,0,0,1,3.5714285714285716,3.1999999582767487,0.9712500050663948,0,0,0,0,2989,178297189.42599994,59651.1172385413,469,2520,0.15690866510538642,0.8430913348946136,1907,615,467,638,447,992,912
2017,Bronx,Black,Female,40 - 49,30,47.1875,10,0.8399999976158142,22,39.1875,30.800000309944153,0.7049999982118607,24,13.849999964237213,8.812499806284904,5.0375001430511475,29978,1642763701.2877002,54798.97595862633,6012,23966,0.20054706784975648,0.7994529321502435,15617,7123,7238,4526,5982,11939,7531
2017,Manhattan,Other/Unknown,Male,40 - 49,1,6.1200000762939455,0,1,0,0,5.399999976158142,0.8271428602082389,2,34.07142857142857,0,34.07142857142857,2540,327515494.08140004,128943.107906063,724,1816,0.28503937007874014,0.7149606299212599,1160,656,724,310,1218,426,586
2017,Manhattan,White,Male,30 - 39,70,46.35454620014537,6,0.9433333343929715,20,11.281818303194912,14.19999997317791,0.8736363703554327,8,0,0,0,78765,9643250353.663841,122430.65262062897,4404,74361,0.055913159398209865,0.9440868406017902,61678,13871,3216,464,2588,4982,70731
2017,Manhattan,Other/Unknown,Male,60+,0,0,0,null,0,0,12.199999809265137,0.9610000073909759,2,0,0,0,1245,86875276.808,69779.33880160643,null,1245,null,1,585,289,371,null,null,549,696
2017,Queens,White,Male,18 - 29,26,36.90909038890492,4,0.8462500013411045,4,4.2727273594249375,2.300000064074993,0.7081818255511197,0,0,0,0,35060,2450014880.484276,69880.62979133702,3001,32059,0.08559612093553907,0.914403879064461,18635,11686,4739,918,5340,10076,18726
2017,Manhattan,Black,Male,60+,18,56.09090874411843,8,0.6225000098347664,24,38.54545454545455,74.19999980926514,0.871818179433996,80,5.327272675254128,1.1636363593014805,3.3818181211298164,16049,790281910.2963,49241.81633100505,3099,12950,0.193096143061873,0.8069038569381269,4185,1534,10330,4544,5040,2525,3940
2017,Queens,White,Female,40 - 49,2,9.26363637230613,0,0,0,0,1.7000000327825546,0.844545456496152,0,0,0,0,31451,2268490163.640519,72127.75948747319,2178,29273,0.06925058026771803,0.930749419732282,17896,6606,6949,1266,7211,7672,15302
2017,Manhattan,White,Female,18 - 29,8,4.190909125588157,0,1,0,0,0.20000000298023224,0.9275000020861626,0,0,0,0,75421,5222371737.612998,69242.93946795982,5989,69432,0.07940759204995956,0.9205924079500405,50177,20743,4501,350,2266,4438,68367
2017,Brooklyn,Asian/Pacific Islander,Male,50 - 59,4,5.724999904632568,0,1,2,2.3666667143503823,6.100000023841858,0.9524999956289927,2,8.783333460489908,0,8.783333460489908,21019,1291313238.4648302,61435.522073591994,2473,18546,0.11765545458870545,0.8823445454112946,10108,7181,3730,8776,5932,3035,3276
2017,Manhattan,Latino/Hispanic,Male,50 - 59,8,19.69090964577415,4,1,16,42.75454607876864,89.10000157356262,0.8881818110292609,40,5.609090978449041,0.6636363538828763,4.9454545974731445,20285,1460525830.8356,72000.28744567907,1960,18325,0.0966231205324131,0.9033768794675869,14030,2548,3707,7381,3214,4640,5050
2017,Bronx,Latino/Hispanic,Female,40 - 49,18,15.412500143051147,0,0.8249999980131785,12,10.837500214576721,11.700000047683716,0.7662499994039536,18,1.1375000178813934,1.1375000178813934,0,55171,2660817692.640011,48228.556535861426,16786,38385,0.3042540465099418,0.6957459534900582,24218,15374,15579,19259,14539,13281,8092
2017,Queens,Black,Female,40 - 49,10,8.618181922219016,2,0.8675000071525574,6,15.56363634629683,20.699999630451202,0.7827272686091337,10,4.7272726839238945,1.5454545671289617,3.181818116794933,28372,1782587420.1799796,62829.106872267716,3105,25267,0.10943888340617511,0.8905611165938249,16621,5921,5830,2781,8355,7978,9258
2017,Staten Island,Black,Female,60+,2,14.220000076293946,0,1,0,0,4.599999904632568,0.8099999904632569,6,16.979999923706053,8.479999923706055,8.479999923706055,3730,198632235.52899998,53252.610061394094,572,3158,0.15335120643431635,0.8466487935656837,106,590,3034,723,1487,836,684
2017,Brooklyn,Other/Unknown,Male,50 - 59,1,4.545454545454546,1,1,1,4.545454545454546,9.800000190734863,0.7600000038743019,0,0,0,0,2911,156352206.89,53710.82339058742,421,2490,0.14462384060460323,0.8553761593953968,1576,1005,330,695,560,481,1175
2017,Brooklyn,Black,Female,30 - 39,46,23.9416667620341,8,0.7671428493091038,28,12.074999968210856,11.300000071525574,0.7474999924500784,18,6.524999777475993,4.891666571299235,1.625,59031,3115351347.12222,52774.836054314175,13978,45053,0.23679083871186327,0.7632091612881368,34992,11093,12946,3354,16459,17817,21401
2017,Brooklyn,Other/Unknown,Female,30 - 39,0,0,0,null,0,0,0.4000000059604645,0.9925000071525574,0,0,0,0,6124,447861837.25879997,73132.23991815805,744,5380,0.12148922273024167,0.8785107772697583,3732,1115,1277,null,456,599,5069
2017,Bronx,Other/Unknown,Female,60+,0,0,0,null,0,0,0.30000001192092896,0.7600000023841857,0,0,0,0,3196,137936402.8055,43159.0747201189,449,2747,0.1404881101376721,0.859511889862328,171,175,2850,518,799,1189,690
2017,Queens,Latino/Hispanic,Female,18 - 29,16,12.6363637230613,0,0.6785714285714286,0,0,1.7000000327825546,0.7580000042915345,0,0,0,0,50008,3046601800.22935,60922.28843843685,5361,44647,0.1072028475443929,0.8927971524556071,20410,15901,13697,4177,9149,22968,13714
2017,Staten Island,Other/Unknown,Male,60+,0,0,0,null,0,0,0,0.7633333206176758,2,0,0,0,134,5685171.288,42426.65140298507,null,134,null,1,null,null,134,null,60,null,74
2017,Bronx,Latino/Hispanic,Female,60+,4,2.3124999701976776,0,1,14,8.587500214576721,9.5,0.862500011920929,48,11.287499904632568,7.924999892711639,3.337499976158142,71285,2809548359.0480695,39412.89694954155,24706,46579,0.3465806270603914,0.6534193729396086,8554,6217,56514,40737,15324,8791,6433
2017,Staten Island,Asian/Pacific Islander,Male,50 - 59,0,0,0,null,0,0,0.8000000193715096,1,0,0,0,0,2717,255355908.38959995,93984.50805653293,238,2479,0.08759661391240339,0.9124033860875966,1981,382,354,688,367,711,951
2017,Bronx,Other/Unknown,Female,18 - 29,0,0,0,null,0,0,0.4000000059604645,1,0,0,0,0,1945,108777392.94099998,55926.68017532133,250,1695,0.12853470437017994,0.87146529562982,645,711,589,null,1167,472,306
